# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00251.txt
#       2th_deg             I 
  1.557975e-03   -1.047467e+01
  4.673925e-03   -2.666739e+00
  7.789875e-03    7.539927e+00
  1.090582e-02    1.286594e+01
  1.402177e-02    6.277429e+00
  1.713772e-02    2.469544e+00
  2.025367e-02    2.767771e+00
  2.336962e-02    4.907582e+00
  2.648557e-02    4.859821e+00
  2.960152e-02    4.981320e+00
  3.271747e-02    4.343717e+00
  3.583342e-02    3.798832e+00
  3.894937e-02    3.305775e+00
  4.206532e-02    3.835107e+00
  4.518127e-02    3.805837e+00
  4.829722e-02    3.837235e+00
  5.141317e-02    4.043937e+00
  5.452912e-02    3.578620e+00
  5.764507e-02    4.212521e+00
  6.076102e-02    5.608724e+00
  6.387697e-02    4.563235e+00
  6.699292e-02    3.443527e+00
  7.010887e-02    2.868113e+00
  7.322482e-02    3.582024e+00
  7.634077e-02    4.208578e+00
  7.945672e-02    2.943675e+00
  8.257267e-02    3.225896e+00
  8.568862e-02    4.148575e+00
  8.880457e-02    4.168559e+00
  9.192052e-02    3.982928e+00
  9.503647e-02    3.831658e+00
  9.815242e-02    5.173704e+00
  1.012684e-01    5.927993e+00
  1.043843e-01    6.943869e+00
  1.075003e-01    6.026344e+00
  1.106162e-01    4.541860e+00
  1.137322e-01    4.280798e+00
  1.168481e-01    5.484432e+00
  1.199641e-01    5.751556e+00
  1.230800e-01    5.991653e+00
  1.261960e-01    5.126204e+00
  1.293119e-01    6.037466e+00
  1.324279e-01    6.845699e+00
  1.355438e-01    6.629035e+00
  1.386598e-01    5.735130e+00
  1.417757e-01    6.106136e+00
  1.448917e-01    5.828169e+00
  1.480076e-01    6.270432e+00
  1.511236e-01    5.962656e+00
  1.542395e-01    6.377606e+00
  1.573555e-01    7.547194e+00
  1.604714e-01    8.343111e+00
  1.635874e-01    9.748694e+00
  1.667033e-01    1.111383e+01
  1.698193e-01    1.263492e+01
  1.729352e-01    1.401539e+01
  1.760512e-01    1.663270e+01
  1.791671e-01    1.939196e+01
  1.822831e-01    2.320241e+01
  1.853990e-01    2.561353e+01
  1.885150e-01    2.780618e+01
  1.916309e-01    2.911261e+01
  1.947469e-01    3.057722e+01
  1.978628e-01    3.205847e+01
  2.009788e-01    3.353743e+01
  2.040947e-01    3.445756e+01
  2.072107e-01    3.624705e+01
  2.103266e-01    3.897146e+01
  2.134426e-01    4.145055e+01
  2.165585e-01    4.336924e+01
  2.196745e-01    4.537736e+01
  2.227904e-01    4.727330e+01
  2.259064e-01    4.824776e+01
  2.290223e-01    4.953484e+01
  2.321383e-01    5.138696e+01
  2.352542e-01    5.335370e+01
  2.383702e-01    5.541381e+01
  2.414861e-01    5.786048e+01
  2.446021e-01    5.944567e+01
  2.477180e-01    6.128848e+01
  2.508340e-01    5.974136e+01
  2.539499e-01    5.922012e+01
  2.570659e-01    6.195887e+01
  2.601818e-01    6.533401e+01
  2.632978e-01    6.797066e+01
  2.664137e-01    7.054269e+01
  2.695297e-01    7.376223e+01
  2.726456e-01    7.575972e+01
  2.757616e-01    7.787436e+01
  2.788775e-01    8.043157e+01
  2.819935e-01    8.297293e+01
  2.851094e-01    8.450786e+01
  2.882254e-01    8.523444e+01
  2.913413e-01    8.639664e+01
  2.944573e-01    8.727563e+01
  2.975732e-01    8.749905e+01
  3.006892e-01    8.843401e+01
  3.038051e-01    9.009424e+01
  3.069211e-01    9.145982e+01
  3.100370e-01    9.248904e+01
  3.131530e-01    9.375668e+01
  3.162689e-01    9.485970e+01
  3.193849e-01    9.654131e+01
  3.225008e-01    9.831001e+01
  3.256168e-01    1.005165e+02
  3.287327e-01    1.026147e+02
  3.318487e-01    1.042077e+02
  3.349646e-01    1.062963e+02
  3.380806e-01    1.086150e+02
  3.411965e-01    1.093888e+02
  3.443125e-01    1.103815e+02
  3.474284e-01    1.117199e+02
  3.505444e-01    1.137652e+02
  3.536603e-01    1.159130e+02
  3.567763e-01    1.172675e+02
  3.598922e-01    1.185160e+02
  3.630082e-01    1.204620e+02
  3.661241e-01    1.231748e+02
  3.692401e-01    1.252269e+02
  3.723560e-01    1.272775e+02
  3.754720e-01    1.290092e+02
  3.785879e-01    1.303460e+02
  3.817039e-01    1.311430e+02
  3.848198e-01    1.331213e+02
  3.879358e-01    1.343680e+02
