# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00201.txt
#       2th_deg             I 
  1.557975e-03   -2.919349e+00
  4.673925e-03    9.517887e-02
  7.789875e-03    1.724272e+00
  1.090582e-02    2.409064e+00
  1.402177e-02    3.809896e+00
  1.713772e-02    3.214017e+00
  2.025367e-02    5.932894e+00
  2.336962e-02    9.043430e+00
  2.648557e-02    9.060267e+00
  2.960152e-02    6.983765e+00
  3.271747e-02    3.521332e+00
  3.583342e-02    3.074747e+00
  3.894937e-02    3.337474e+00
  4.206532e-02    5.851365e+00
  4.518127e-02    6.131235e+00
  4.829722e-02    5.645388e+00
  5.141317e-02    5.137529e+00
  5.452912e-02    5.143750e+00
  5.764507e-02    3.980431e+00
  6.076102e-02    5.942297e+00
  6.387697e-02    6.449849e+00
  6.699292e-02    6.982409e+00
  7.010887e-02    5.828470e+00
  7.322482e-02    5.670035e+00
  7.634077e-02    4.985866e+00
  7.945672e-02    6.093483e+00
  8.257267e-02    5.292033e+00
  8.568862e-02    4.905094e+00
  8.880457e-02    3.021890e+00
  9.192052e-02    4.714290e+00
  9.503647e-02    5.081890e+00
  9.815242e-02    4.921505e+00
  1.012684e-01    4.586665e+00
  1.043843e-01    4.427030e+00
  1.075003e-01    3.826889e+00
  1.106162e-01    3.537117e+00
  1.137322e-01    5.196863e+00
  1.168481e-01    6.816761e+00
  1.199641e-01    7.170834e+00
  1.230800e-01    5.997100e+00
  1.261960e-01    5.283778e+00
  1.293119e-01    6.217640e+00
  1.324279e-01    7.996204e+00
  1.355438e-01    8.122185e+00
  1.386598e-01    7.254687e+00
  1.417757e-01    6.723373e+00
  1.448917e-01    6.871148e+00
  1.480076e-01    7.656978e+00
  1.511236e-01    7.662839e+00
  1.542395e-01    8.641043e+00
  1.573555e-01    8.352736e+00
  1.604714e-01    9.933824e+00
  1.635874e-01    1.084894e+01
  1.667033e-01    1.273852e+01
