# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00301.txt
#       2th_deg             I 
  1.557975e-03    7.729527e+00
  4.673925e-03    3.121318e+00
  7.789875e-03   -5.480830e-01
  1.090582e-02   -3.998388e+00
  1.402177e-02   -1.371418e+00
  1.713772e-02    1.159132e+00
  2.025367e-02    1.784609e+00
  2.336962e-02    2.161648e+00
  2.648557e-02    4.179696e+00
  2.960152e-02    6.049803e+00
  3.271747e-02    7.972106e+00
  3.583342e-02    8.061395e+00
  3.894937e-02    6.657709e+00
  4.206532e-02    4.866946e+00
  4.518127e-02    5.965633e+00
  4.829722e-02    6.272589e+00
  5.141317e-02    6.606582e+00
  5.452912e-02    6.697601e+00
  5.764507e-02    4.799119e+00
  6.076102e-02    3.517283e+00
  6.387697e-02    3.162618e+00
  6.699292e-02    4.954280e+00
  7.010887e-02    5.255909e+00
  7.322482e-02    5.405343e+00
  7.634077e-02    4.356354e+00
  7.945672e-02    2.075592e+00
  8.257267e-02    1.060231e+00
  8.568862e-02    1.515012e+00
  8.880457e-02    1.973343e+00
  9.192052e-02    2.949690e+00
  9.503647e-02    3.408627e+00
  9.815242e-02    3.270172e+00
  1.012684e-01    3.815918e+00
  1.043843e-01    5.044223e+00
  1.075003e-01    5.414305e+00
  1.106162e-01    5.039602e+00
  1.137322e-01    5.830784e+00
  1.168481e-01    5.714501e+00
  1.199641e-01    4.943059e+00
  1.230800e-01    4.608788e+00
  1.261960e-01    5.645691e+00
  1.293119e-01    7.276181e+00
  1.324279e-01    7.274799e+00
  1.355438e-01    5.675572e+00
  1.386598e-01    4.791089e+00
  1.417757e-01    4.753424e+00
  1.448917e-01    5.284014e+00
  1.480076e-01    6.034907e+00
  1.511236e-01    7.589720e+00
  1.542395e-01    8.766141e+00
  1.573555e-01    9.862293e+00
