# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00101.txt
#       2th_deg             I 
  1.557975e-03    1.237992e+01
  4.673925e-03    1.176642e+01
  7.789875e-03    8.402024e+00
  1.090582e-02    8.061690e+00
  1.402177e-02    7.536284e+00
  1.713772e-02    7.954697e+00
  2.025367e-02    6.072236e+00
  2.336962e-02    4.301250e+00
  2.648557e-02    6.820238e+00
  2.960152e-02    8.420678e+00
  3.271747e-02    1.054091e+01
  3.583342e-02    9.739126e+00
  3.894937e-02    8.631167e+00
  4.206532e-02    8.743904e+00
  4.518127e-02    9.299167e+00
  4.829722e-02    8.273484e+00
  5.141317e-02    8.099526e+00
  5.452912e-02    7.561261e+00
  5.764507e-02    8.045765e+00
  6.076102e-02    7.838800e+00
  6.387697e-02    7.492278e+00
  6.699292e-02    8.191774e+00
  7.010887e-02    7.644958e+00
  7.322482e-02    6.427875e+00
  7.634077e-02    8.308137e+00
  7.945672e-02    9.294987e+00
  8.257267e-02    8.150517e+00
  8.568862e-02    5.824080e+00
  8.880457e-02    6.928703e+00
  9.192052e-02    7.936932e+00
  9.503647e-02    8.250813e+00
  9.815242e-02    8.157977e+00
  1.012684e-01    8.965240e+00
  1.043843e-01    8.333344e+00
  1.075003e-01    7.285242e+00
  1.106162e-01    6.650975e+00
  1.137322e-01    7.951719e+00
  1.168481e-01    8.145117e+00
  1.199641e-01    7.310717e+00
  1.230800e-01    6.722669e+00
  1.261960e-01    7.341793e+00
  1.293119e-01    7.739449e+00
  1.324279e-01    7.939611e+00
  1.355438e-01    7.743528e+00
  1.386598e-01    7.306265e+00
  1.417757e-01    6.785033e+00
  1.448917e-01    7.108382e+00
  1.480076e-01    7.852746e+00
  1.511236e-01    8.361685e+00
  1.542395e-01    8.841382e+00
  1.573555e-01    8.963345e+00
  1.604714e-01    9.172313e+00
  1.635874e-01    1.110594e+01
  1.667033e-01    1.351086e+01
  1.698193e-01    1.554447e+01
  1.729352e-01    1.744538e+01
  1.760512e-01    1.945827e+01
  1.791671e-01    2.175928e+01
  1.822831e-01    2.324948e+01
  1.853990e-01    2.420219e+01
  1.885150e-01    2.558248e+01
  1.916309e-01    2.758302e+01
  1.947469e-01    2.989369e+01
  1.978628e-01    3.165445e+01
  2.009788e-01    3.444789e+01
  2.040947e-01    3.600884e+01
  2.072107e-01    3.727822e+01
  2.103266e-01    3.816171e+01
  2.134426e-01    4.056578e+01
  2.165585e-01    4.269438e+01
  2.196745e-01    4.475528e+01
  2.227904e-01    4.633021e+01
  2.259064e-01    4.782642e+01
  2.290223e-01    4.943618e+01
  2.321383e-01    5.142305e+01
  2.352542e-01    5.239596e+01
  2.383702e-01    5.379182e+01
  2.414861e-01    5.545839e+01
  2.446021e-01    5.811315e+01
  2.477180e-01    5.942495e+01
  2.508340e-01    5.763700e+01
  2.539499e-01    5.650446e+01
  2.570659e-01    5.907249e+01
  2.601818e-01    6.145169e+01
  2.632978e-01    6.510355e+01
  2.664137e-01    6.738515e+01
  2.695297e-01    7.016389e+01
  2.726456e-01    7.219370e+01
  2.757616e-01    7.438799e+01
  2.788775e-01    7.596588e+01
  2.819935e-01    7.796178e+01
  2.851094e-01    7.942889e+01
  2.882254e-01    8.103358e+01
  2.913413e-01    8.242551e+01
  2.944573e-01    8.417462e+01
  2.975732e-01    8.543964e+01
  3.006892e-01    8.654897e+01
  3.038051e-01    8.734684e+01
  3.069211e-01    8.868277e+01
  3.100370e-01    8.934011e+01
  3.131530e-01    9.034653e+01
  3.162689e-01    9.232510e+01
  3.193849e-01    9.397272e+01
  3.225008e-01    9.503177e+01
  3.256168e-01    9.582652e+01
  3.287327e-01    9.758062e+01
  3.318487e-01    9.995506e+01
  3.349646e-01    1.022115e+02
  3.380806e-01    1.039582e+02
  3.411965e-01    1.050718e+02
  3.443125e-01    1.054520e+02
  3.474284e-01    1.064571e+02
  3.505444e-01    1.084223e+02
  3.536603e-01    1.111693e+02
  3.567763e-01    1.130340e+02
  3.598922e-01    1.147279e+02
  3.630082e-01    1.164578e+02
  3.661241e-01    1.183069e+02
  3.692401e-01    1.194776e+02
  3.723560e-01    1.213083e+02
  3.754720e-01    1.234960e+02
  3.785879e-01    1.247108e+02
  3.817039e-01    1.256421e+02
  3.848198e-01    1.279249e+02
  3.879358e-01    1.296308e+02
  3.910517e-01    1.303213e+02
  3.941677e-01    1.316672e+02
  3.972836e-01    1.327387e+02
  4.003996e-01    1.345864e+02
  4.035155e-01    1.373316e+02
  4.066315e-01    1.392052e+02
  4.097474e-01    1.399273e+02
  4.128634e-01    1.411936e+02
  4.159793e-01    1.429394e+02
  4.190953e-01    1.452511e+02
  4.222112e-01    1.464527e+02
  4.253272e-01    1.475853e+02
  4.284431e-01    1.498058e+02
  4.315591e-01    1.521483e+02
  4.346750e-01    1.541983e+02
  4.377910e-01    1.562483e+02
  4.409069e-01    1.588825e+02
  4.440229e-01    1.602107e+02
  4.471388e-01    1.609612e+02
  4.502548e-01    1.627669e+02
  4.533707e-01    1.656272e+02
  4.564867e-01    1.685221e+02
  4.596026e-01    1.712358e+02
  4.627186e-01    1.731279e+02
  4.658345e-01    1.753322e+02
  4.689505e-01    1.764713e+02
  4.720664e-01    1.783973e+02
  4.751824e-01    1.800997e+02
  4.782983e-01    1.820910e+02
  4.814143e-01    1.832572e+02
  4.845302e-01    1.849410e+02
  4.876462e-01    1.862651e+02
  4.907621e-01    1.865640e+02
  4.938781e-01    1.869227e+02
  4.969940e-01    1.877609e+02
  5.001100e-01    1.884353e+02
  5.032259e-01    1.881138e+02
  5.063419e-01    1.879205e+02
  5.094578e-01    1.879256e+02
  5.125738e-01    1.875947e+02
  5.156897e-01    1.885321e+02
  5.188057e-01    1.883868e+02
  5.219216e-01    1.884826e+02
  5.250376e-01    1.890172e+02
  5.281535e-01    1.899641e+02
  5.312695e-01    1.906609e+02
  5.343854e-01    1.911000e+02
  5.375014e-01    1.910511e+02
  5.406173e-01    1.913686e+02
  5.437333e-01    1.923905e+02
  5.468492e-01    1.931302e+02
  5.499652e-01    1.932478e+02
  5.530811e-01    1.925834e+02
  5.561971e-01    1.917381e+02
  5.593130e-01    1.921445e+02
  5.624290e-01    1.917941e+02
  5.655449e-01    1.917884e+02
  5.686609e-01    1.913353e+02
  5.717768e-01    1.912914e+02
  5.748928e-01    1.907555e+02
  5.780087e-01    1.911609e+02
  5.811247e-01    1.910437e+02
  5.842406e-01    1.906818e+02
  5.873566e-01    1.899833e+02
  5.904725e-01    1.898331e+02
  5.935885e-01    1.892925e+02
  5.967044e-01    1.879532e+02
  5.998204e-01    1.882832e+02
  6.029363e-01    1.890392e+02
  6.060523e-01    1.899577e+02
  6.091682e-01    1.890683e+02
  6.122842e-01    1.890226e+02
  6.154001e-01    1.879179e+02
  6.185161e-01    1.879353e+02
  6.216320e-01    1.874054e+02
  6.247480e-01    1.877257e+02
  6.278639e-01    1.884892e+02
  6.309799e-01    1.883540e+02
  6.340958e-01    1.880782e+02
  6.372118e-01    1.876405e+02
  6.403277e-01    1.877773e+02
  6.434437e-01    1.873510e+02
  6.465596e-01    1.872545e+02
  6.496756e-01    1.877451e+02
  6.527915e-01    1.877252e+02
  6.559075e-01    1.868905e+02
  6.590234e-01    1.867977e+02
  6.621394e-01    1.864725e+02
  6.652553e-01    1.859574e+02
  6.683713e-01    1.852823e+02
  6.714872e-01    1.854035e+02
  6.746032e-01    1.854415e+02
  6.777191e-01    1.862702e+02
  6.808351e-01    1.866051e+02
  6.839510e-01    1.857825e+02
  6.870670e-01    1.850281e+02
  6.901829e-01    1.851492e+02
  6.932989e-01    1.854817e+02
  6.964148e-01    1.853378e+02
  6.995308e-01    1.853205e+02
  7.026467e-01    1.846856e+02
  7.057627e-01    1.850603e+02
  7.088786e-01    1.846313e+02
  7.119946e-01    1.842464e+02
  7.151105e-01    1.837252e+02
  7.182265e-01    1.837198e+02
  7.213424e-01    1.831565e+02
  7.244584e-01    1.826062e+02
  7.275743e-01    1.829452e+02
  7.306903e-01    1.834088e+02
  7.338062e-01    1.829605e+02
  7.369222e-01    1.823606e+02
  7.400381e-01    1.820253e+02
  7.431541e-01    1.821131e+02
  7.462700e-01    1.819465e+02
  7.493860e-01    1.815140e+02
  7.525019e-01    1.811141e+02
  7.556179e-01    1.818505e+02
  7.587338e-01    1.818791e+02
  7.618498e-01    1.815033e+02
  7.649657e-01    1.813232e+02
  7.680817e-01    1.808994e+02
  7.711976e-01    1.806842e+02
  7.743136e-01    1.802029e+02
  7.774295e-01    1.804801e+02
  7.805455e-01    1.792730e+02
  7.836614e-01    1.785887e+02
  7.867774e-01    1.778231e+02
  7.898933e-01    1.778551e+02
  7.930093e-01    1.771027e+02
  7.961252e-01    1.770648e+02
  7.992412e-01    1.765818e+02
  8.023571e-01    1.760704e+02
  8.054731e-01    1.752700e+02
  8.085890e-01    1.752955e+02
  8.117050e-01    1.750332e+02
  8.148209e-01    1.754404e+02
  8.179369e-01    1.748467e+02
  8.210528e-01    1.740648e+02
  8.241688e-01    1.733097e+02
  8.272847e-01    1.734158e+02
  8.304007e-01    1.727668e+02
  8.335166e-01    1.724902e+02
  8.366326e-01    1.720923e+02
  8.397485e-01    1.718356e+02
  8.428645e-01    1.715294e+02
  8.459804e-01    1.721685e+02
  8.490964e-01    1.721558e+02
  8.522123e-01    1.716461e+02
  8.553283e-01    1.709285e+02
  8.584442e-01    1.703983e+02
  8.615602e-01    1.701184e+02
  8.646761e-01    1.694808e+02
  8.677921e-01    1.691307e+02
  8.709080e-01    1.688299e+02
  8.740240e-01    1.689088e+02
  8.771399e-01    1.686239e+02
  8.802559e-01    1.679967e+02
  8.833718e-01    1.672803e+02
  8.864878e-01    1.671278e+02
  8.896037e-01    1.672437e+02
  8.927197e-01    1.673670e+02
  8.958356e-01    1.670397e+02
  8.989516e-01    1.665895e+02
  9.020675e-01    1.655706e+02
  9.051835e-01    1.651358e+02
  9.082994e-01    1.639951e+02
  9.114154e-01    1.641918e+02
  9.145313e-01    1.643253e+02
  9.176473e-01    1.644995e+02
  9.207632e-01    1.640376e+02
  9.238792e-01    1.637926e+02
  9.269951e-01    1.636302e+02
  9.301111e-01    1.637818e+02
  9.332270e-01    1.634174e+02
  9.363430e-01    1.631055e+02
  9.394589e-01    1.627289e+02
  9.425749e-01    1.622701e+02
  9.456908e-01    1.616206e+02
  9.488068e-01    1.610922e+02
  9.519227e-01    1.604495e+02
  9.550387e-01    1.601259e+02
  9.581546e-01    1.597799e+02
  9.612706e-01    1.599570e+02
  9.643865e-01    1.597706e+02
  9.675025e-01    1.594592e+02
  9.706184e-01    1.585001e+02
  9.737344e-01    1.581488e+02
  9.768503e-01    1.574582e+02
  9.799663e-01    1.568958e+02
  9.830822e-01    1.563505e+02
  9.861982e-01    1.563508e+02
  9.893141e-01    1.561255e+02
  9.924301e-01    1.554659e+02
  9.955460e-01    1.551472e+02
  9.986620e-01    1.550071e+02
  1.001778e+00    1.547596e+02
  1.004894e+00    1.543034e+02
  1.008010e+00    1.537240e+02
  1.011126e+00    1.531466e+02
  1.014242e+00    1.525431e+02
  1.017358e+00    1.519877e+02
  1.020474e+00    1.519097e+02
  1.023590e+00    1.517600e+02
  1.026706e+00    1.512384e+02
  1.029821e+00    1.508414e+02
  1.032937e+00    1.507579e+02
  1.036053e+00    1.506113e+02
  1.039169e+00    1.502664e+02
  1.042285e+00    1.501542e+02
  1.045401e+00    1.502894e+02
  1.048517e+00    1.500414e+02
  1.051633e+00    1.499016e+02
  1.054749e+00    1.496579e+02
  1.057865e+00    1.488847e+02
  1.060981e+00    1.483659e+02
  1.064097e+00    1.477670e+02
  1.067213e+00    1.478633e+02
  1.070329e+00    1.479268e+02
  1.073445e+00    1.476107e+02
  1.076561e+00    1.467343e+02
  1.079677e+00    1.464027e+02
  1.082793e+00    1.456710e+02
  1.085909e+00    1.453395e+02
  1.089025e+00    1.450460e+02
  1.092140e+00    1.449290e+02
  1.095256e+00    1.449730e+02
  1.098372e+00    1.450952e+02
  1.101488e+00    1.446446e+02
  1.104604e+00    1.439365e+02
  1.107720e+00    1.433055e+02
  1.110836e+00    1.427345e+02
  1.113952e+00    1.424336e+02
  1.117068e+00    1.423683e+02
  1.120184e+00    1.425923e+02
  1.123300e+00    1.428320e+02
  1.126416e+00    1.423587e+02
  1.129532e+00    1.417305e+02
  1.132648e+00    1.412941e+02
  1.135764e+00    1.411821e+02
  1.138880e+00    1.406472e+02
  1.141996e+00    1.403960e+02
  1.145112e+00    1.398523e+02
  1.148228e+00    1.391552e+02
  1.151344e+00    1.387310e+02
  1.154459e+00    1.385056e+02
  1.157575e+00    1.379615e+02
  1.160691e+00    1.374875e+02
  1.163807e+00    1.376339e+02
  1.166923e+00    1.376285e+02
  1.170039e+00    1.372848e+02
  1.173155e+00    1.371079e+02
  1.176271e+00    1.373655e+02
  1.179387e+00    1.374979e+02
  1.182503e+00    1.374701e+02
  1.185619e+00    1.369478e+02
  1.188735e+00    1.366596e+02
  1.191851e+00    1.364474e+02
  1.194967e+00    1.362532e+02
  1.198083e+00    1.354375e+02
  1.201199e+00    1.349691e+02
  1.204315e+00    1.347283e+02
  1.207431e+00    1.342911e+02
  1.210547e+00    1.345421e+02
  1.213663e+00    1.344262e+02
  1.216778e+00    1.343894e+02
  1.219894e+00    1.340951e+02
  1.223010e+00    1.343234e+02
  1.226126e+00    1.341542e+02
  1.229242e+00    1.339717e+02
  1.232358e+00    1.332203e+02
  1.235474e+00    1.327094e+02
  1.238590e+00    1.319359e+02
  1.241706e+00    1.318990e+02
  1.244822e+00    1.317168e+02
  1.247938e+00    1.321405e+02
  1.251054e+00    1.316670e+02
  1.254170e+00    1.310874e+02
  1.257286e+00    1.304633e+02
  1.260402e+00    1.300168e+02
  1.263518e+00    1.300577e+02
  1.266634e+00    1.302773e+02
  1.269750e+00    1.301516e+02
  1.272866e+00    1.299700e+02
  1.275982e+00    1.297832e+02
  1.279097e+00    1.297228e+02
  1.282213e+00    1.292542e+02
  1.285329e+00    1.293915e+02
  1.288445e+00    1.291726e+02
  1.291561e+00    1.286894e+02
  1.294677e+00    1.282722e+02
  1.297793e+00    1.277842e+02
  1.300909e+00    1.271857e+02
  1.304025e+00    1.271333e+02
  1.307141e+00    1.273051e+02
  1.310257e+00    1.271189e+02
  1.313373e+00    1.264678e+02
  1.316489e+00    1.263634e+02
  1.319605e+00    1.268576e+02
  1.322721e+00    1.268405e+02
  1.325837e+00    1.265226e+02
  1.328953e+00    1.259371e+02
  1.332069e+00    1.251510e+02
  1.335185e+00    1.249064e+02
  1.338301e+00    1.249370e+02
  1.341416e+00    1.250722e+02
  1.344532e+00    1.246215e+02
  1.347648e+00    1.245737e+02
  1.350764e+00    1.246182e+02
  1.353880e+00    1.243530e+02
  1.356996e+00    1.240647e+02
  1.360112e+00    1.236738e+02
  1.363228e+00    1.232043e+02
  1.366344e+00    1.228886e+02
  1.369460e+00    1.228592e+02
  1.372576e+00    1.223749e+02
  1.375692e+00    1.219495e+02
  1.378808e+00    1.218154e+02
  1.381924e+00    1.218405e+02
  1.385040e+00    1.217318e+02
  1.388156e+00    1.216799e+02
  1.391272e+00    1.220241e+02
  1.394388e+00    1.218860e+02
  1.397504e+00    1.215053e+02
  1.400619e+00    1.211474e+02
  1.403735e+00    1.207850e+02
  1.406851e+00    1.208247e+02
  1.409967e+00    1.208300e+02
  1.413083e+00    1.208380e+02
  1.416199e+00    1.205964e+02
  1.419315e+00    1.206363e+02
  1.422431e+00    1.207022e+02
  1.425547e+00    1.203221e+02
  1.428663e+00    1.196785e+02
  1.431779e+00    1.192040e+02
  1.434895e+00    1.189986e+02
  1.438011e+00    1.183839e+02
  1.441127e+00    1.181535e+02
  1.444243e+00    1.186222e+02
  1.447359e+00    1.194647e+02
  1.450475e+00    1.190861e+02
  1.453591e+00    1.186878e+02
  1.456707e+00    1.182374e+02
  1.459823e+00    1.179928e+02
  1.462938e+00    1.177226e+02
  1.466054e+00    1.171201e+02
  1.469170e+00    1.163691e+02
  1.472286e+00    1.160135e+02
  1.475402e+00    1.161993e+02
  1.478518e+00    1.160742e+02
  1.481634e+00    1.157252e+02
  1.484750e+00    1.154650e+02
  1.487866e+00    1.154471e+02
  1.490982e+00    1.154474e+02
  1.494098e+00    1.151112e+02
  1.497214e+00    1.147081e+02
  1.500330e+00    1.143848e+02
  1.503446e+00    1.142821e+02
  1.506562e+00    1.142236e+02
  1.509678e+00    1.141851e+02
  1.512794e+00    1.142661e+02
