# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00151.txt
#       2th_deg             I 
  1.557975e-03   -2.506533e+00
  4.673925e-03   -1.415440e+00
  7.789875e-03    4.911003e+00
  1.090582e-02    4.646075e+00
  1.402177e-02    3.464490e+00
  1.713772e-02    1.942813e+00
  2.025367e-02    6.201457e-01
  2.336962e-02   -3.216032e-01
  2.648557e-02   -9.442006e-01
  2.960152e-02    3.704339e-01
  3.271747e-02    1.190648e+00
  3.583342e-02    1.062984e+00
  3.894937e-02   -1.765424e-01
  4.206532e-02    1.183693e+00
  4.518127e-02    2.034410e+00
  4.829722e-02    1.695606e+00
  5.141317e-02   -4.449343e-01
  5.452912e-02    8.263277e-01
  5.764507e-02    7.904826e-01
  6.076102e-02    9.186762e-01
  6.387697e-02    4.298232e-01
  6.699292e-02    3.528890e-01
  7.010887e-02   -3.073398e-01
  7.322482e-02    1.141731e+00
  7.634077e-02    1.602267e+00
  7.945672e-02    1.960372e+00
  8.257267e-02    8.091444e-01
  8.568862e-02    6.175874e-01
  8.880457e-02    2.078089e-01
  9.192052e-02    1.965140e+00
  9.503647e-02    3.293709e+00
  9.815242e-02    3.605256e+00
  1.012684e-01    2.778051e+00
  1.043843e-01    2.127883e+00
  1.075003e-01    1.815064e+00
  1.106162e-01    2.485904e+00
  1.137322e-01    2.969321e+00
  1.168481e-01    1.862408e+00
  1.199641e-01    2.145158e+00
  1.230800e-01    2.472798e+00
  1.261960e-01    2.939671e+00
  1.293119e-01    3.016022e+00
  1.324279e-01    3.558085e+00
  1.355438e-01    2.616813e+00
  1.386598e-01    1.995382e+00
